current_rank,ticker,name,sector,2026-09-04__predicted_rank,2026-09-04__close,2026-09-04__next_snapshot_return,2026-09-02__predicted_rank,2026-09-02__close,2026-09-02__next_snapshot_return,2026-09-01__predicted_rank,2026-09-01__close,2026-09-01__next_snapshot_return,2026-08-31__predicted_rank,2026-08-31__close,2026-08-31__next_snapshot_return,2026-08-28__predicted_rank,2026-08-28__close,2026-08-28__next_snapshot_return,2026-08-27__predicted_rank,2026-08-27__close,2026-08-27__next_snapshot_return,2026-08-26__predicted_rank,2026-08-26__close,2026-08-26__next_snapshot_return,2026-08-25__predicted_rank,2026-08-25__close,2026-08-25__next_snapshot_return,2026-08-24__predicted_rank,2026-08-24__close,2026-08-24__next_snapshot_return,2026-08-21__predicted_rank,2026-08-21__close,2026-08-21__next_snapshot_return,2026-08-20__predicted_rank,2026-08-20__close,2026-08-20__next_snapshot_return,2026-08-19__predicted_rank,2026-08-19__close,2026-08-19__next_snapshot_return,2026-08-18__predicted_rank,2026-08-18__close,2026-08-18__next_snapshot_return,2026-08-17__predicted_rank,2026-08-17__close,2026-08-17__next_snapshot_return,2026-08-14__predicted_rank,2026-08-14__close,2026-08-14__next_snapshot_return,2026-08-13__predicted_rank,2026-08-13__close,2026-08-13__next_snapshot_return,2026-08-12__predicted_rank,2026-08-12__close,2026-08-12__next_snapshot_return,2026-08-11__predicted_rank,2026-08-11__close,2026-08-11__next_snapshot_return,2026-08-10__predicted_rank,2026-08-10__close,2026-08-10__next_snapshot_return,2026-08-07__predicted_rank,2026-08-07__close,2026-08-07__next_snapshot_return,2026-08-06__predicted_rank,2026-08-06__close,2026-08-06__next_snapshot_return,2026-08-05__predicted_rank,2026-08-05__close,2026-08-05__next_snapshot_return
13,BFH,BREAD FINANCIAL HOLDINGS,Financials,13,110.839996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,113.160004,,,,,,,,,,,,,,,,,,,,,,
14,TMP,TOMPKINS FINANCIAL CORP,Financials,14,99.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FA,FIRST ADVANTAGE,Industrials,15,21.379999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CODI,COMPASS DIVERSIFIED,Financials,16,11.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AVLN,AVALYN PHARMA INC,Health Care,17,37.389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CVEO,CIVEO CORP,Industrials,18,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,34.005001,,,,,,,,,,,,,,,,,,,,,,,,,
19,WASH,WASHINGTON TRUST BANCORP INC,Financials,19,40.259998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FBLA,FB BANCORP,Financials,20,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15.82,
21,WWW,WOLVERINE WORLD WIDE,Consumer Discretionary,21,20.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,APH,Amphenol,Information Technology,22,82.739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PAR,PAR TECHNOLOGY,Information Technology,23,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18.200001,,,,,,,,,,
24,JILL,J JILL INC,Consumer Discretionary,24,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MARA,MARA HOLDINGS,Information Technology,25,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BFST,BUSINESS FIRST BANCSHARES INC,Financials,26,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OBT,ORANGE COUNTY BANCORP INC,Financials,27,38.720001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,39.389999,,,,,,,,,,,,,,,,,,,
28,CRC,CALIFORNIA RESOURCES,Energy,28,54.247002,,,,,14,53.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,53.884998,,,,,,,,,,,,,,,,,,,,,,
29,VRNS,VARONIS SYSTEMS,Information Technology,29,46.09,,,,,,,,,,,20,43.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CZWI,CITIZENS COMMUNITY BANCORP INC,Financials,30,22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ECHO,EchoStar,Communication Services,31,89.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SWKS,Skyworks Solutions,Information Technology,32,74.019997,,24,71.669998,0.03278916,24,67.410004,0.06319528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,66.839996,,,,
33,WLTH,WEALTHFRONT,Financials,33,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BNED,BARNES AND NOBLE EDUCATION INC,Consumer Discretionary,34,12.72,,,,,,,,,,,,,,,,,34,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PWP,PERELLA WEINBERG PARTNERS CLASS A,Financials,35,16.799999,,,,,,,,,,,9,16.98,,23,16.950001,0.00176985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MS,Morgan Stanley,Financials,36,217.705002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,SRCE,1ST SOURCE,Financials,37,87.230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,HY,HYSTER YALE INC CLASS A,Industrials,38,35.790001,,,,,,,,,,,,,,2,34.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,VERA,VERA THERAPEUTICS CLASS A,Health Care,39,35.889999,,,,,,,,,,,14,34.189999,,29,34.599998,-0.01184968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ORCL,Oracle Corporation,Information Technology,40,158.830002,,,,,,,,,,,,,,3,151.939896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,41,16.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HAL,Halliburton,Energy,42,37.075001,,,,,,,,49,36.849998,,2,36.174999,0.01865927,,,,,,,,,,,,,48,35.285,,,,,,,,30,34.685001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,GM,General Motors,Consumer Discretionary,43,87.730003,,,,,,,,,,,,,,,,,,,,,,,,,,23,87.360001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,VKTX,"Viking Therapeutics, Inc. - Common Stock",,44,34.869999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,FSUN,FIRSTSUN CAPITAL BANCORP,Financials,45,40.919998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,RGR,STURM RUGER,Consumer Discretionary,46,38.529999,,,,,,,,,,,,,,,,,,,,,,,17,38.439999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,FCCO,FIRST COMMUNITY CORP,Financials,47,34.560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PKBK,PARKE BANCORP INC,Financials,48,34.580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,STNG,SCORPIO TANKERS,Energy,49,82.290001,,,,,42,79.574997,,21,78.875,0.00887476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,79.620003,,,,,,,,,,,,,,,,,,,,,,
50,CCNE,CNB FINANCIAL CORP,Financials,50,34.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
