current_rank,ticker,name,sector,2026-07-17 13:00__close,2026-07-17 13:00__next_4h_return,2026-07-16 12:30__close,2026-07-16 12:30__next_4h_return,2026-07-14 12:30__close,2026-07-14 12:30__next_4h_return,2026-07-13 12:30__close,2026-07-13 12:30__next_4h_return,2026-07-10 12:30__close,2026-07-10 12:30__next_4h_return,2026-07-07 12:30__close,2026-07-07 12:30__next_4h_return,2026-07-06 12:30__close,2026-07-06 12:30__next_4h_return,2026-07-02 12:30__close,2026-07-02 12:30__next_4h_return,2026-07-01 12:30__close,2026-07-01 12:30__next_4h_return,2026-06-30 12:30__close,2026-06-30 12:30__next_4h_return,2026-06-29 12:30__close,2026-06-29 12:30__next_4h_return,2026-06-26 12:30__close,2026-06-26 12:30__next_4h_return,2026-06-25 12:30__close,2026-06-25 12:30__next_4h_return,2026-06-24 12:30__close,2026-06-24 12:30__next_4h_return,2026-06-23 12:30__close,2026-06-23 12:30__next_4h_return,2026-06-22 12:30__close,2026-06-22 12:30__next_4h_return,2026-06-18 12:30__close,2026-06-18 12:30__next_4h_return,2026-06-17 12:30__close,2026-06-17 12:30__next_4h_return,2026-06-16 12:30__close,2026-06-16 12:30__next_4h_return,2026-06-15 12:30__close,2026-06-15 12:30__next_4h_return,2026-06-12 12:30__close,2026-06-12 12:30__next_4h_return,2026-06-11 12:30__close,2026-06-11 12:30__next_4h_return,2026-06-10 12:30__close,2026-06-10 12:30__next_4h_return,2026-06-09 12:30__close,2026-06-09 12:30__next_4h_return,2026-06-08 12:30__close,2026-06-08 12:30__next_4h_return,2026-06-05 12:30__close,2026-06-05 12:30__next_4h_return,2026-06-03 12:30__close,2026-06-03 12:30__next_4h_return,2026-06-02 12:30__close,2026-06-02 12:30__next_4h_return,2026-06-01 12:30__close,2026-06-01 12:30__next_4h_return,2026-05-29 12:30__close,2026-05-29 12:30__next_4h_return
11,TRI,Thomson Reuters Corp - Common Shares,,96.199997,,98.839996,-0.02670983,91.699997,0.07786259,94.300003,-0.02757164,89.639999,0.05198577,90.809998,-0.01288403,87.870003,0.03345846,89.160004,-0.01446838,84.949997,0.04955865,81.650002,0.04041635,82.635002,-0.01191989,83.879997,-0.01484257,80.970001,0.03593919,80.989998,-0.00024691,80.714996,0.00340707,76.540001,0.05454658,78.570000,-0.02583682,79.279999,-0.00895559,81.180000,-0.02340479,80.470001,0.00882315,81.404999,-0.01148576,80.260002,0.01426610,81.949997,-0.02062227,82.300003,-0.00425281,83.180000,-0.01057943,86.050003,-0.03335274,83.419998,0.03152727,86.279999,-0.03314790,93.959999,-0.08173691,86.500000,0.08624276
12,RPRX,Royalty Pharma plc - Class A Ordinary Shares,,58.180000,,58.520000,-0.00580998,55.665001,0.05128894,56.459999,-0.01408073,56.424999,0.00062029,57.820000,-0.02412662,56.919998,0.01581170,57.750000,-0.01437233,55.779999,0.03531734,56.070000,-0.00517212,57.080002,-0.01769450,56.259998,0.01457526,54.689999,0.02870724,54.275002,0.00764619,55.349998,-0.01942179,53.560001,0.03342041,52.955002,0.01142478,53.680000,-0.01350592,54.209999,-0.00977678,54.259998,-0.00092147,54.880001,-0.01129743,55.270000,-0.00705625,54.529999,0.01357053,55.619999,-0.01959727,54.869999,0.01366867,55.875000,-0.01798660,54.970001,0.01646351,54.009998,0.01777454,55.180000,-0.02120337,55.759998,-0.01040169
13,PODD,Insulet Corporation,Health Care,164.059998,,164.419998,-0.00218951,159.089996,0.03350306,162.130005,-0.01875044,161.279999,0.00527037,161.505997,-0.00139932,159.850006,0.01035966,164.520004,-0.02838559,159.850006,0.02921488,152.259995,0.04984902,157.889999,-0.03565776,158.089996,-0.00126508,153.789993,0.02796023,148.854996,0.03315305,143.910004,0.03436170,138.970001,0.03554726,145.649994,-0.04586332,143.509995,0.01491185,147.699997,-0.02836833,148.139999,-0.00297018,149.729996,-0.01061909,149.160004,0.00382135,150.710007,-0.01028467,159.610001,-0.05576088,151.440002,0.05394875,153.250000,-0.01181075,143.330002,0.06921090,142.419998,0.00638958,148.119995,-0.03848229,145.039993,0.02123554
14,ZS,"Zscaler, Inc. - Common Stock",,149.940002,,146.464996,0.02372585,152.070007,-0.03685810,141.820007,0.07227471,139.270004,0.01830978,149.610001,-0.06911301,150.410004,-0.00531882,147.320007,0.02097473,146.449997,0.00594066,141.160004,0.03747515,137.509995,0.02654359,132.270004,0.03961587,123.809998,0.06833056,127.269997,-0.02718629,126.209999,0.00839868,124.074997,0.01720735,124.721001,-0.00517959,124.370003,0.00282221,127.209999,-0.02232526,130.490005,-0.02513607,129.550003,0.00725590,126.120003,0.02719632,124.760002,0.01090094,125.849998,-0.00866107,129.240005,-0.02623032,130.720001,-0.01132188,134.350006,-0.02701902,144.110001,-0.06772601,155.669998,-0.07425963,139.750000,0.11391770
15,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,,137.100006,,136.410004,0.00505829,137.020004,-0.00445190,134.289993,0.02032922,131.699997,0.01966588,138.679993,-0.05033167,138.839996,-0.00115243,136.589996,0.01647266,134.235001,0.01754382,131.330002,0.02211984,128.720001,0.02027658,130.100006,-0.01060726,122.730003,0.06005054,124.820000,-0.01674409,123.839996,0.00791347,120.230003,0.03002572,122.309998,-0.01700593,121.959999,0.00286979,121.974998,-0.00012297,123.459999,-0.01202820,124.129997,-0.00539755,123.120003,0.00820333,125.669998,-0.02029120,127.430000,-0.01381152,129.279999,-0.01431002,135.850006,-0.04836221,135.660004,0.00140057,140.139999,-0.03196800,139.100006,0.00747658,135.020004,0.03021776
16,SLS,SELLAS LIFE SCIENCES GROUP INC,Health Care,13.190000,,11.740000,0.12350937,13.370000,-0.12191473,12.640000,0.05775316,12.750000,-0.00862745,13.500000,-0.05555556,13.950000,-0.03225806,14.970000,-0.06813627,13.270000,0.12810852,14.768000,-0.10143554,15.450000,-0.04414239,12.400000,0.24596774,10.540000,0.17647059,9.160000,0.15065502,9.060000,0.01103753,8.530000,0.06213365,8.070000,0.05700124,7.750000,0.04129032,7.525000,0.02990033,7.725000,-0.02588997,7.810000,-0.01088348,7.750000,0.00774194,7.150000,0.08391608,7.670000,-0.06779661,7.985000,-0.03944897,8.225000,-0.02917933,8.190000,0.00427350,8.345000,-0.01857400,9.065000,-0.07942637,9.305000,-0.02579258
17,DUOL,"Duolingo, Inc. - Class A Common Stock",,133.850006,,129.059998,0.03711458,128.360001,0.00545339,132.410004,-0.03058684,124.779999,0.06114766,132.009995,-0.05476855,129.725006,0.01761410,125.830002,0.03095449,121.209999,0.03811569,115.080002,0.05326727,116.029999,-0.00818751,121.470001,-0.04478474,119.940002,0.01275637,132.070007,-0.09184527,132.225006,-0.00117224,127.139999,0.03999534,125.614998,0.01214028,123.379997,0.01811478,128.089996,-0.03677101,127.007500,0.00852309,122.589996,0.03603478,123.820000,-0.00993381,121.900002,0.01575060,117.849998,0.03436575,117.980003,-0.00110192,109.059998,0.08178989,107.449997,0.01498372,109.910004,-0.02238201,117.989998,-0.06848033,111.415001,0.05901357
18,ADSK,Autodesk,Information Technology,218.350006,,217.080002,0.00585040,205.910004,0.05424699,212.235001,-0.02980186,208.429993,0.01825557,212.414993,-0.01876045,207.600006,0.02319358,207.449997,0.00072311,199.759995,0.03849621,194.369995,0.02773062,195.289993,-0.00471093,196.130005,-0.00428293,189.770004,0.03351426,192.559998,-0.01448896,188.750000,0.02018542,187.710007,0.00554042,193.695007,-0.03089909,193.089996,0.00313331,201.289993,-0.04073723,198.600006,0.01354475,198.380005,0.00110899,205.410004,-0.03422423,221.179993,-0.07129935,224.020004,-0.01267749,224.970001,-0.00422277,229.940002,-0.02161434,229.539993,0.00174265,236.580002,-0.02975741,248.240005,-0.04697068,231.449997,0.07254270
19,FSLY,FASTLY INC CLASS A,Information Technology,20.719999,,20.340000,0.01868235,20.910000,-0.02725968,20.020000,0.04445554,19.600000,0.02142857,18.575001,0.05518164,18.240000,0.01836628,18.110001,0.00717830,18.555000,-0.02398270,18.350000,0.01117166,17.985001,0.02029463,17.105000,0.05144700,16.219999,0.05456233,16.379999,-0.00976801,16.645000,-0.01592076,17.200001,-0.03226750,17.870001,-0.03749300,17.420000,0.02583243,17.379999,0.00230155,18.549999,-0.06307278,18.549999,0.00000000,18.879999,-0.01747881,18.650000,0.01233239,18.629999,0.00107359,19.365000,-0.03795513,18.055000,0.07255608,20.825001,-0.13301325,20.775000,0.00240679,19.080000,0.08883648,17.775000,0.07341772
20,MANH,"Manhattan Associates, Inc. - Common Stock",,163.190002,,163.199997,-0.00006124,158.539993,0.02939324,158.410004,0.00082059,154.929993,0.02246183,158.210007,-0.02073203,153.880005,0.02813882,151.119995,0.01826370,146.800003,0.02942774,139.289993,0.05391636,138.089996,0.00868996,137.589996,0.00363399,127.779999,0.07677255,130.880005,-0.02368586,130.190002,0.00529997,128.750000,0.01118448,132.259995,-0.02653860,132.089996,0.00128699,139.410004,-0.05250705,144.000000,-0.03187497,142.929993,0.00748623,140.315002,0.01863657,145.160004,-0.03337698,146.550003,-0.00948481,146.899994,-0.00238251,147.759995,-0.00582026,151.259995,-0.02313897,155.050003,-0.02444378,161.160004,-0.03791264,150.029999,0.07418520
21,BBIO,"BridgeBio Pharma, Inc. - Common Stock",,81.379997,,80.290001,0.01357574,84.070000,-0.04496252,82.910004,0.01399103,85.860001,-0.03435822,77.910004,0.10204077,77.720001,0.00244471,77.250000,0.00608416,74.489998,0.03705198,74.459999,0.00040289,72.000000,0.03416665,70.334999,0.02367244,69.709999,0.00896572,69.389999,0.00461162,68.629997,0.01107390,68.900002,-0.00391880,66.260002,0.03984304,67.400002,-0.01691395,66.660004,0.01110108,68.019997,-0.01999402,66.809998,0.01811105,67.559998,-0.01110124,67.379997,0.00267143,67.644997,-0.00391751,67.370003,0.00408185,67.610001,-0.00354974,65.470001,0.03268673,63.869999,0.02505092,65.379997,-0.02309572,66.300003,-0.01387641
22,GMAB,Genmab A/S - American Depositary Shares,,28.719999,,29.000000,-0.00965521,28.760000,0.00834492,28.795000,-0.00121549,29.030001,-0.00809511,29.174999,-0.00496994,28.014999,0.04140639,28.525000,-0.01787909,27.660000,0.03127260,27.455000,0.00746676,26.010000,0.05555556,26.120001,-0.00421137,26.129999,-0.00038263,25.860001,0.01044076,25.930000,-0.00269954,25.605000,0.01269283,25.264999,0.01345739,25.389999,-0.00492320,24.750000,0.02585855,24.575001,0.00712102,25.080000,-0.02013553,25.230000,-0.00594530,24.495001,0.03000608,25.094999,-0.02390907,24.790001,0.01230327,25.150000,-0.01431408,23.879999,0.05318262,23.855000,0.00104796,25.440001,-0.06230350,26.340000,-0.03416853
23,RELY,REMITLY GLOBAL INC,Financials,24.129999,,25.240000,-0.04397785,23.520000,0.07312925,23.674999,-0.00654695,23.780001,-0.00441556,24.129999,-0.01450468,24.219999,-0.00371594,23.760000,0.01936023,22.934999,0.03597127,22.420000,0.02297052,22.780001,-0.01580338,22.350000,0.01923942,21.745001,0.02782244,21.450001,0.01375291,20.389999,0.05198637,20.639999,-0.01211240,21.110001,-0.02226442,20.440001,0.03277886,20.360001,0.00392927,19.639999,0.03665998,19.080000,0.02935005,18.799999,0.01489367,18.049999,0.04155125,18.355000,-0.01661678,18.450001,-0.00514911,18.775000,-0.01731020,19.719999,-0.04792084,20.059999,-0.01694915,21.040001,-0.04657804,20.025000,0.05068669
24,FCNCA,"First Citizens BancShares, Inc. - Class A Common Stock",,2122.129883,,2155.389893,-0.01543109,2061.389893,0.04560030,2105.810059,-0.02109410,2092.350098,0.00643294,2090.909912,0.00068878,2116.774902,-0.01221906,2078.860107,0.01823826,2120.510010,-0.01964146,2079.229980,0.01985352,2079.669922,-0.00021154,2080.870117,-0.00057678,2088.820068,-0.00380595,2117.860107,-0.01371197,2111.790039,0.00287437,2086.330078,0.01220323,2071.739990,0.00704243,2090.169922,-0.00881743,2095.375000,-0.00248408,2068.750000,0.01287009,2108.034912,-0.01863580,2118.070068,-0.00473788,2112.379883,0.00269373,2102.340088,0.00477553,2075.260010,0.01304900,2075.850098,-0.00028426,1955.050049,0.06178872,1997.550049,-0.02127606,1941.099976,0.02908149,1989.569946,-0.02436203
25,TXRH,"Texas Roadhouse, Inc. - Common Stock",,197.029999,,197.460007,-0.00217770,189.070007,0.04437510,191.975006,-0.01513217,189.460007,0.01327456,186.990005,0.01320927,186.009995,0.00526859,194.199997,-0.04217303,191.449997,0.01436406,193.270004,-0.00941691,193.830002,-0.00288912,196.610001,-0.01413966,190.699997,0.03099111,186.979996,0.01989518,179.970001,0.03895091,179.729996,0.00133536,177.789993,0.01091177,173.490005,0.02478522,168.250000,0.03114416,167.529999,0.00429774,167.729996,-0.00119237,167.639999,0.00053685,164.250000,0.02063926,164.070007,0.00109705,167.759995,-0.02199564,170.429993,-0.01566624,166.220001,0.02532783,170.949997,-0.02766889,175.419998,-0.02548171,180.619995,-0.02878971
26,INSM,Insmed Incorporated - Common Stock,,108.320000,,107.480003,0.00781538,110.050003,-0.02335302,109.129997,0.00843037,115.620003,-0.05613221,112.870003,0.02436431,111.540001,0.01192399,111.610001,-0.00062718,107.019997,0.04288922,106.610001,0.00384576,104.735001,0.01790232,103.430000,0.01261724,104.470001,-0.00995502,103.480003,0.00956705,102.110001,0.01341692,98.589996,0.03570347,95.779999,0.02933804,98.440002,-0.02702157,95.544998,0.03029990,97.459999,-0.01964910,97.830002,-0.00378210,96.709999,0.01158105,91.870003,0.05268309,99.089996,-0.07286299,94.120003,0.05280485,94.320000,-0.00212041,103.870003,-0.09194188,103.699997,0.00163940,105.970001,-0.02142119,106.910004,-0.00879247
27,ENSG,"The Ensign Group, Inc. - Common Stock",,171.279999,,172.839996,-0.00902567,166.839996,0.03596260,168.404999,-0.00929309,168.389999,0.00008908,170.929993,-0.01485985,166.839996,0.02451449,168.289993,-0.00861606,164.789993,0.02123915,160.410004,0.02730496,158.339996,0.01307318,163.070007,-0.02900601,165.610001,-0.01533720,163.979996,0.00994027,158.869995,0.03216467,156.750000,0.01352469,153.610001,0.02044137,155.830002,-0.01424630,157.029999,-0.00764183,150.714996,0.04190030,149.270004,0.00968039,146.949997,0.01578773,151.770004,-0.03175863,155.199997,-0.02210047,156.369995,-0.00748224,170.259995,-0.08158111,166.679993,0.02147829,165.710007,0.00585351,164.990005,0.00436391,167.660004,-0.01592508
28,NTSK,"Netskope, Inc. - Class A Common Stock",,13.590000,,13.490000,0.00741290,14.270000,-0.05466013,12.810000,0.11397346,12.310000,0.04061738,12.050000,0.02157676,12.210000,-0.01310401,11.705000,0.04314396,11.660000,0.00385935,10.930000,0.06678866,10.495000,0.04144831,10.280000,0.02091440,9.860000,0.04259635,9.525000,0.03517060,9.525000,0.00000000,8.945000,0.06484069,9.035000,-0.00996126,8.715000,0.03671830,8.960000,-0.02734375,8.805000,0.01760363,9.025000,-0.02437673,8.700100,0.03734440,8.460000,0.02838061,8.990000,-0.05895439,9.425000,-0.04615385,9.635000,-0.02179554,12.380000,-0.22172859,12.100000,0.02314050,12.860000,-0.05909798,12.130000,0.06018137
29,ADBE,Adobe Inc.,Information Technology,237.250000,,235.320007,0.00820157,220.729996,0.06609890,230.690002,-0.04317485,223.630005,0.03156999,221.529999,0.00947956,218.059998,0.01591306,219.649994,-0.00723877,210.940002,0.04129132,204.970001,0.02912622,206.449997,-0.00716879,202.619995,0.01890239,193.479996,0.04724002,196.510101,-0.01541959,197.460007,-0.00481062,194.860001,0.01334294,195.160004,-0.00153722,196.270004,-0.00565547,207.360001,-0.05348185,206.270004,0.00528432,204.014999,0.01105313,218.369995,-0.06573703,233.320007,-0.06407514,237.880005,-0.01916932,244.990005,-0.02902159,251.410004,-0.02553597,256.279999,-0.01900263,262.130005,-0.02231719,274.040009,-0.04346082,259.010010,0.05802864
30,JKHY,Jack Henry & Associates,Financials,151.669998,,153.809998,-0.01391327,145.429993,0.05762226,150.759995,-0.03535422,150.279999,0.00319401,146.740005,0.02412426,146.389999,0.00239091,146.889999,-0.00340391,142.419998,0.03138605,137.729996,0.03405215,136.690002,0.00760841,134.929993,0.01304387,128.669998,0.04865155,128.039993,0.00492038,125.230003,0.02243863,123.459999,0.01433666,126.239998,-0.02202154,124.239998,0.01609788,129.289993,-0.03905944,130.309998,-0.00782753,128.190002,0.01653792,125.930000,0.01794649,127.610001,-0.01316512,127.349998,0.00204164,126.330002,0.00807406,130.139999,-0.02927614,133.089996,-0.02216543,136.009995,-0.02146900,140.190002,-0.02981673,136.309998,0.02846456
31,WDAY,"Workday, Inc.",Information Technology,144.779999,,145.440002,-0.00453797,139.779999,0.04049222,144.869995,-0.03513492,138.970001,0.04245516,143.649994,-0.03257914,137.949997,0.04131930,135.389999,0.01890832,130.320007,0.03890417,122.349998,0.06514106,123.550003,-0.00971271,123.959999,-0.00330749,113.760002,0.08966242,118.025002,-0.03613641,115.110001,0.02532361,113.029999,0.01840221,116.870003,-0.03285705,121.839996,-0.04079115,126.800003,-0.03911677,129.600006,-0.02160496,130.809998,-0.00925000,130.500000,0.00237546,137.460007,-0.05063296,140.259995,-0.01996284,143.809998,-0.02468537,144.279999,-0.00325756,146.929993,-0.01803576,148.910004,-0.01329670,157.264999,-0.05312686,146.190002,0.07575755
32,REGN,Regeneron Pharmaceuticals,Health Care,676.690002,,678.960022,-0.00334338,656.109985,0.03482653,663.219971,-0.01072040,664.539978,-0.00198635,676.130005,-0.01714171,649.969971,0.04024807,654.155029,-0.00639765,624.739990,0.04708365,623.700012,0.00166743,631.869995,-0.01292985,633.099976,-0.00194279,619.900024,0.02129368,623.409973,-0.00563024,617.799988,0.00908058,612.539978,0.00858721,610.070007,0.00404867,607.799988,0.00373481,614.510010,-0.01091930,614.960022,-0.00073177,611.739990,0.00526373,610.940002,0.00130944,601.669983,0.01540715,615.840027,-0.02300929,611.049988,0.00783903,635.210022,-0.03803472,619.289978,0.02570693,602.710022,0.02750901,600.789978,0.00319587,614.030029,-0.02156255
33,SYRE,SPYRE THERAPEUTICS INC,Health Care,100.230003,,94.120201,0.06491488,98.949997,-0.04881047,93.695000,0.05608621,97.739998,-0.04138529,94.309998,0.03636942,88.730003,0.06288735,86.629997,0.02424110,88.910004,-0.02564399,88.745003,0.00185927,90.110001,-0.01514813,87.699997,0.02748009,88.669998,-0.01093945,86.239998,0.02817718,97.019997,-0.11111110,100.260002,-0.03231603,88.269997,0.13583330,87.540001,0.00833900,83.470001,0.04876003,83.660004,-0.00227113,80.750000,0.03603720,80.699997,0.00061962,75.070000,0.07499663,76.480003,-0.01843623,71.989998,0.06236984,73.584999,-0.02167563,73.525002,0.00081601,69.220001,0.06219302,70.486000,-0.01796100,73.480003,-0.04074582
